2016-02-22 07:56:24,Elapsed Time (min),Stage Time (min),Stage Number,Clock Time (min),MCP_ET (min),Cem-Gate Target (%),Cem-Gate Actual (%),Mix-Water Target (gpm),Mix-Water Actual (gpm),Mix-Water Stage (gal),Mix-Water Total (gal),Target Density (ppg),Actual Density (ppg),Dry-Cem target (lbm/min),Pressure 1 (psi),Pressure 2 (psi),Pressure 3 (psi),Rate 1 (bpm),Rate 2 (bpm),Rate 1+2 (bpm),Flow 3 (bpm),Flow 3 Stage (bbl),Flow 3 Total (bbl),Disch Rate (bpm),Disch Stage (bbl),Disch Total (bbl),Slurry Tub Level (%),Mixing Stage,Stage Reset,Mass Dens (ppg),Nuclear Dens (ppg),J22-Temp (°F),Event Code,EC+001,Event Marker,STP (psi),Slurry Density (ppg),Add 1 Rate (gpm),Add 1 Ratio (gpt),Add 1 Stage Total (gal),Add 1 Total (gal),Add 2 Rate (gpm),Add 2 Ratio (gpt),Add 2 Stage Total (gal),Add 2 Total (gal),Add 3 Rate (gpm),Add 3 Ratio (gpt),Add 3 Stage Total (gal),Add 3 Total (gal),Add 4 Rate (gpm),Add 4 Ratio (gpt),Add 4 Stage Total (gal),Add 4 Total (gal)
2016-02-22 07:57:04,0.7,0.7,0,0.7,0.7,30.0,100.0,0.0,0.0,0.0,8.2,8.4,0.0,0.0,27,-14,-4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.2,-25,-1,-0.999,-24.51,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22 07:57:06,0.7,0.7,0,0.7,0.7,30.0,99.9,0.0,0.0,0.0,8.2,8.4,0.0,0.0,27,-14,-4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.2,-25,-1,-0.999,-24.51,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22 07:57:08,0.7,0.7,0,0.7,0.7,30.0,100.0,0.0,0.0,0.0,8.2,8.4,0.0,0.0,27,-14,-4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.2,-25,-1,-0.999,-24.51,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22 07:57:10,0.8,0.8,0,0.8,0.8,30.0,100.0,0.0,0.0,0.0,8.2,8.4,0.0,0.0,27,-14,-4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.2,-25,-1,-0.999,-24.51,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22 07:57:12,0.8,0.8,0,0.8,0.8,30.0,100.0,0.0,0.0,0.0,8.2,8.4,0.0,0.0,27,-14,-4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.2,-25,-1,-0.999,-24.51,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22 07:57:14,0.8,0.8,0,0.8,0.8,30.0,100.0,0.0,0.0,0.0,8.2,8.4,0.0,0.0,27,-14,-4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.2,-25,-1,-0.999,-24.51,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22 07:57:16,0.9,0.9,0,0.9,0.9,30.0,100.0,0.0,0.0,0.0,8.2,8.4,0.0,0.0,27,-14,-4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.2,-25,-1,-0.999,-24.51,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22 07:57:18,0.9,0.9,0,0.9,0.9,30.0,100.0,0.0,0.0,0.0,8.2,8.4,0.0,0.0,27,-14,-4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.2,-25,-1,-0.999,-24.51,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22 07:57:20,0.9,0.9,0,0.9,0.9,30.0,100.0,0.0,0.0,0.0,8.2,8.4,0.0,0.0,27,-14,-4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.2,-25,-1,-0.999,-24.51,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22 07:57:22,1.0,1.0,0,1.0,1.0,30.0,99.9,0.0,0.0,0.0,8.2,8.4,0.0,0.0,27,-14,-4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.2,-25,-1,-0.999,-24.51,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
