1/23/2016 6:50,Elapsed Time (min),Stage Time (min),Stage Number,Clock Time (min),MCP_ET (min),Cem-Gate Target (%),Cem-Gate Actual (%),Mix-Water Target (gpm),Mix-Water Actual (gpm),Mix-Water Stage (gal),Mix-Water Total (gal),Target Density (ppg),Actual Density (ppg),Dry-Cem target (lbm/min),Pressure 1 (psi),Pressure 2 (psi),Pressure 3 (psi),Rate 1 (bpm),Rate 2 (bpm),Rate 1+2 (bpm),Flow 3 (bpm),Flow 3 Stage (bbl),Flow 3 Total (bbl),Disch Rate (bpm),Disch Stage (bbl),Disch Total (bbl),Slurry Tub Level (%),Mixing Stage,Stage Reset,Mass Dens (ppg),Nuclear Dens (ppg),J22-Temp (°F),Event Code,EC+001,Event Marker,STP (psi),Slurry Density (ppg),Add 1 Rate (gpm),Add 1 Ratio (gpt),Add 1 Stage Total (gal),Add 1 Total (gal),Add 2 Rate (gpm),Add 2 Ratio (gpt),Add 2 Stage Total (gal),Add 2 Total (gal),Add 3 Rate (gpm),Add 3 Ratio (gpt),Add 3 Stage Total (gal),Add 3 Total (gal),Add 4 Rate (gpm),Add 4 Ratio (gpt),Add 4 Stage Total (gal),Add 4 Total (gal)
1/23/2016 6:50,0,0,0,0,0,30,98.8,0,0,0.1,8.1,8.4,0.1,0,-89,-52,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,-24,-1,-0.999,-24.45,-89,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2016 6:50,0.03333,0,0,0,0,30,98.7,0,0,0.1,8.1,8.4,0.1,0,-89,-52,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,-24,-1,-0.999,-24.45,-89,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2016 6:50,0.06667,0.1,0,0.1,0.1,30,98.8,0,0,0.1,8.1,8.4,0.1,0,-88,-52,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,-24,-1,-0.999,-24.45,-88,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2016 6:50,0.10000,0.1,0,0.1,0.1,30,98.7,0,0,0.1,8.1,8.4,0.1,0,-89,-52,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,-24,-1,-0.999,-24.45,-89,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2016 6:50,0.13333,0.1,0,0.1,0.1,30,98.7,0,0,0.1,8.1,8.4,0.1,0,-88,-52,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,-24,-1,-0.999,-24.45,-88,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2016 6:50,0.16667,0.2,0,0.2,0.2,30,98.7,0,0,0.1,8.1,8.4,0.1,0,-89,-52,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,-24,-1,-0.999,-24.45,-89,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2016 6:50,0.20000,0.2,0,0.2,0.2,30,98.7,0,0,0.1,8.1,8.4,0.1,0,-89,-51,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,-24,-1,-0.999,-24.45,-89,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2016 6:50,0.23333,0.2,0,0.2,0.2,30,98.7,0,0,0.1,8.1,8.4,0.1,0,-89,-52,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,-24,-1,-0.999,-24.45,-89,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2016 6:50,0.26667,0.3,0,0.3,0.3,30,98.7,0,0,0.1,8.1,8.4,0.1,0,-89,-51,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,-24,-1,-0.999,-24.45,-89,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2016 6:50,0.30000,0.3,0,0.3,0.3,30,98.7,0,0,0.1,8.1,8.4,0.1,0,-89,-52,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,-24,-1,-0.999,-24.45,-89,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2016 6:50,0.33333,0.3,0,0.3,0.3,30,98.7,0,0,0.1,8.1,8.4,0.1,0,-89,-52,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,-24,-1,-0.999,-24.45,-89,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
