2016-04-11 21:41:22,Elapsed Time (min),Stage Time (min),Stage Number,Clock Time (min),MCP_ET (min),Cem-Gate Target (%),Cem-Gate Actual (%),Mix-Water Target (gpm),Mix-Water Actual (gpm),Mix-Water Stage (gal),Mix-Water Total (gal),Target Density (ppg),Actual Density (ppg),Dry-Cem target (lbm/min),Pressure 1 (psi),Pressure 2 (psi),Pressure 3 (psi),Rate 1 (bpm),Rate 2 (bpm),Rate 1+2 (bpm),Flow 3 (bpm),Flow 3 Stage (bbl),Flow 3 Total (bbl),Disch Rate (bpm),Disch Stage (bbl),Disch Total (bbl),Slurry Tub Level (%),Mixing Stage,Stage Reset,Mass Dens (ppg),Nuclear Dens (ppg),J22-Temp (°F),Event Code,EC+001,Event Marker,STP (psi),Slurry Density (ppg),Add 1 Rate (gpm),Add 1 Ratio (gpt),Add 1 Stage Total (gal),Add 1 Total (gal),Add 2 Rate (gpm),Add 2 Ratio (gpt),Add 2 Stage Total (gal),Add 2 Total (gal),Add 3 Rate (gpm),Add 3 Ratio (gpt),Add 3 Stage Total (gal),Add 3 Total (gal),Add 4 Rate (gpm),Add 4 Ratio (gpt),Add 4 Stage Total (gal),Add 4 Total (gal)
2016-04-11 21:41:23,0.0,0.0,0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,13.5,8.7,0.0,-5,0,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0,0,8.7,8.1,-24,-1,-0.999,1.001,-5,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11 21:41:29,0.1,0.1,0,0.1,0.1,25.0,0.0,0.0,0.0,0.0,0.0,13.5,8.7,0.0,-5,0,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0,0,8.7,8.1,-24,-1,-0.999,1.001,-5,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11 21:41:35,0.2,0.2,0,0.2,0.2,25.0,0.0,0.0,0.0,0.0,0.0,13.5,8.7,0.0,-5,0,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0,0,8.7,8.1,-24,-1,-0.999,1.001,-5,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11 21:41:39,0.3,0.3,0,0.3,0.3,25.0,0.0,0.0,0.0,0.0,0.0,13.5,8.7,0.0,-6,0,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0,0,8.7,8.1,-24,-1,-0.999,1.001,-6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11 21:41:43,0.3,0.3,0,0.3,0.3,25.0,0.0,0.0,0.0,0.0,0.0,13.5,8.7,0.0,-6,0,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0,0,8.7,8.1,-24,-1,-0.999,1.001,-6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11 21:41:47,0.4,0.4,0,0.4,0.4,25.0,0.0,0.0,0.0,0.0,0.0,13.5,8.7,0.0,-6,0,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0,0,8.7,8.1,-24,-1,-0.999,1.001,-6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11 21:41:51,0.5,0.5,0,0.5,0.5,25.0,0.0,0.0,0.0,0.0,0.0,13.5,8.7,0.0,-7,0,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0,0,8.7,8.1,-24,-1,-0.999,1.001,-7,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11 21:41:55,0.5,0.5,0,0.5,0.5,25.0,0.0,0.0,0.0,0.0,0.0,13.5,8.7,0.0,-9,0,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0,0,8.7,8.1,-24,-1,-0.999,1.001,-9,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11 21:41:59,0.6,0.6,0,0.6,0.6,25.0,0.0,0.0,0.0,0.0,0.0,13.5,8.7,0.0,-10,0,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0,0,8.7,8.1,-24,-1,-0.999,1.001,-10,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11 21:42:03,0.7,0.7,0,0.7,0.7,25.0,0.0,0.0,0.0,0.0,0.0,13.5,8.7,0.0,-9,0,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0,0,8.7,8.1,-24,-1,-0.999,1.001,-9,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
