2016-01-19 16:35:57,Elapsed Time (min),Stage Time (min),Stage Number,Clock Time (min),Falcon_ET (min),Cem-Gate Target (%),Cem-Gate Actual (%),Mix-Water Target (gpm),Mix-Water Actual (gpm),Mix-Water Stage (gal),Mix-Water Total (gal),Target Density (ppg),Actual Density (ppg),Dry-Cem target (lbm/min),Pressure_1 (psi),Pressure_2 (psi),Pressure_3 (psi),Mech.Rate 1 (bpm),Mech.Rate 2 (bpm),Mech.Rate 1+2 (bpm),Flow 3 (bpm),Flow 3 Stage (bbl),Flow 3 Total (bbl),Disch Rate (bpm),Disch Stage (bbl),Disch Total (bbl),Actual Tub Level (%),-,Cement Slurry Type,Falcon Stage No.,Mass Dens (ppg),Nuclear Dens (ppg),J22-Temp (°F),Target Tub Level (%),Tub SW,Water SW,Gate SW,Bypass SW,Downhole SW,UL_OprMode,Liq_Vol_Fact,Event Code,-,Pressure (psi),Slurry Density (ppg),Slurry Density (0),Add 1 Rate (gpm),Add 1 Ratio (gpt),Add 1 Stage Total (gal),Add 1 Total (gal),Add 2 Rate (gpm),Add 2 Ratio (gpt),Add 2 Stage Total (gal),Add 2 Total (gal)
2016-01-19 16:36:02,0.083,0.083,0,0.083,0.170,25.0,19.8,16.8,38.8,3.4,3.4,12.00,8.47,291.0,-25,1,-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,16.9,0,0,0,8.47,0.00,-25,-1.0,0,0,0,0,0,2,99.15,0,0,-25,8.47,8.47,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0
2016-01-19 16:36:07,0.167,0.167,0,0.167,0.270,25.0,19.8,16.8,41.5,6.7,6.7,12.00,8.48,311.2,-27,0,-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,19.3,0,0,0,8.48,0.00,-25,-1.0,0,0,0,0,0,2,99.11,0,0,-27,8.48,8.48,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0
2016-01-19 16:36:12,0.250,0.250,0,0.250,0.340,25.0,19.8,16.8,29.7,9.7,9.7,12.00,8.48,222.8,-28,-8,-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,20.7,0,0,0,8.48,0.00,-25,-1.0,0,0,0,0,0,2,99.11,0,0,-28,8.48,8.48,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0
2016-01-19 16:36:17,0.333,0.333,0,0.333,0.440,25.0,19.8,16.8,37.2,12.5,12.5,12.00,8.48,278.7,-27,-7,-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,21.9,0,0,0,8.48,0.00,-25,-1.0,0,0,0,0,0,2,99.11,0,0,-27,8.48,8.48,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0
2016-01-19 16:36:22,0.417,0.417,0,0.417,0.510,25.0,19.8,16.8,42.6,15.8,15.8,12.00,8.49,319.4,-28,-9,-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,23.8,0,0,0,8.49,0.00,-25,-1.0,0,0,0,0,0,2,99.07,0,0,-28,8.49,8.49,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0
2016-01-19 16:36:27,0.500,0.500,0,0.500,0.610,25.0,19.8,16.8,41.8,19.3,19.3,12.00,8.49,313.7,-28,-9,-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,25.4,0,0,0,8.49,0.00,-25,-1.0,0,0,0,0,0,2,99.07,0,0,-28,8.49,8.49,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0
2016-01-19 16:36:32,0.583,0.583,0,0.583,0.670,25.0,19.8,16.8,41.2,22.8,22.8,12.00,8.49,309.1,-27,-8,-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,27.6,0,0,0,8.49,0.00,-25,-1.0,0,0,0,0,0,2,99.07,0,0,-27,8.49,8.49,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0
2016-01-19 16:36:37,0.667,0.667,0,0.667,0.770,25.0,19.8,16.8,42.4,26.3,26.3,12.00,8.49,317.6,-27,-10,-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,29.0,0,0,0,8.49,0.00,-25,-1.0,0,0,0,0,0,2,99.07,0,0,-27,8.49,8.49,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0
2016-01-19 16:36:42,0.750,0.750,0,0.750,0.840,25.0,19.8,16.8,38.3,29.6,29.6,12.00,8.49,287.2,-28,-10,-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,31.0,0,0,0,8.49,0.00,-25,-1.0,0,0,0,0,0,2,99.07,0,0,-28,8.49,8.49,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0
2016-01-19 16:36:47,0.833,0.833,0,0.833,0.940,25.0,19.8,16.8,28.8,32.4,32.4,12.00,8.49,216.2,-27,-10,-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,32.4,0,0,0,8.49,0.00,-25,-1.0,0,0,0,0,0,2,99.03,0,0,-27,8.49,8.49,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0
