Elapsed Time (min),Pressure,Density,Rate,Stage Number
,,,,
0.017,8,8.34,0,0
0.033,8,8.34,0,0
0.05,8,8.34,0,0
0.067,8,8.34,0,0
0.083,8,8.34,0,0
0.1,8,8.34,0,0
0.117,8,8.34,0,0
0.133,8,8.34,0,0
0.15,8,8.34,0,0
0.167,8,8.34,0,0
0.183,8,8.34,0,0
0.2,8,8.34,0,0
0.217,8,8.34,0,0
0.233,8,8.34,0,0
0.25,8,8.34,0,0
0.267,8,8.34,0,0
0.283,8,8.34,0,0
0.3,8,8.34,0,0
0.317,8,8.34,0,0
0.333,8,8.34,0,0
0.35,8,8.34,0,0
0.367,8,8.34,0,0
0.383,8,8.34,0,0
0.4,8,8.34,0,0
0.417,7,8.34,0,0
0.433,7,8.34,0,0
0.45,6,8.34,0,0
0.467,6,8.34,0,0
0.483,6,8.34,0,0
0.5,6,8.34,0,0
0.517,6,8.34,0,0
0.533,6,8.34,0,0
0.55,6,8.34,0,0
0.567,6,8.34,0,0
0.583,6,8.34,0,0
0.6,6,8.34,0,0
0.617,7,8.34,0,0
0.633,7,8.34,0,0
0.65,7,8.34,0,0
0.667,7,8.34,0,0
0.683,7,8.34,0,0
0.7,7,8.34,0,0
0.717,7,8.34,0,0
0.733,7,8.34,0,0
0.75,7,8.34,0,0
0.767,7,8.34,0,0
0.783,7,8.34,0,0
0.8,7,8.34,0,0
0.817,7,8.34,0,0
0.833,7,8.34,0,0
0.85,7,8.34,0,0
0.867,7,8.34,0,0
0.883,7,8.34,0,0
0.9,6,8.34,0,0
0.917,6,8.34,0,0
0.933,6,8.34,0,0
0.95,6,8.34,0,0
0.967,6,8.34,0,0
0.983,6,8.34,0,0
1,6,8.34,0,0
1.017,7,8.34,0,0
1.033,7,8.34,0,0
1.05,7,8.34,0,0
1.067,7,8.34,0,0
1.083,7,8.34,0,0
1.1,7,8.34,0,0
1.117,7,8.34,0,0
1.133,7,8.34,0,0
1.15,7,8.34,0,0
1.167,7,8.34,0,0
1.183,7,8.34,0,0
1.2,7,8.34,0,0
1.217,7,8.34,0,0
1.233,7,8.34,0,0
1.25,7,8.34,0,0
1.267,7,8.34,0,0
1.283,7,8.34,0,0
1.3,7,8.34,0,0
1.317,7,8.34,0,0
1.333,7,8.34,0,0
1.35,7,8.34,0,0
1.367,7,8.34,0,0
1.383,7,8.34,0,0
1.4,7,8.34,0,0
1.417,7,8.34,0,0
1.433,7,8.34,0,0
1.45,7,8.34,0,0
1.467,7,8.34,0,0
1.483,7,8.34,0,0
1.5,7,8.34,0,0
1.517,7,8.34,0,0
1.533,7,8.34,0,0
1.55,7,8.34,0,0
