Elapsed Time,Pressure,Density,Rate,Stage Number
,,,,
0.017,-1,8.5,0,1
0.033,-1,8.5,0,1
0.067,-1,8.5,0,1
0.083,-1,8.51,0,1
0.1,-1,8.5,0,1
0.117,-1,8.5,0,1
0.133,-1,8.5,0,1
0.15,-1,8.5,0,1
0.167,-1,8.5,0,1
0.183,-1,8.5,0,1
0.2,-1,8.5,0,1
0.217,-1,8.5,0,1
0.233,-1,8.5,0,1
0.25,-1,8.5,0,1
0.267,-1,8.5,0,1
0.283,-1,8.5,0,1
0.3,-1,8.5,0,1
0.317,-1,8.5,0,1
0.333,-1,8.5,0,1
0.35,-1,8.5,0,1
0.367,-1,8.5,0,1
0.383,-1,8.5,0,1
0.4,-1,8.49,0,1
0.417,-1,8.49,0,1
0.433,-1,8.5,0,1
0.45,-1,8.5,0,1
0.467,-1,8.5,0,1
0.483,-1,8.5,0,1
0.5,-1,8.5,0,1
0.517,-1,8.5,0,1
0.533,-1,8.5,0,1
0.55,-1,8.5,0,1
0.567,-1,8.5,0,1
0.583,-1,8.5,0,1
0.6,-1,8.5,0,1
0.617,-1,8.49,0,1
0.633,-1,8.5,0,1
0.65,-1,8.5,0,1
0.667,-1,8.5,0,1
0.683,-1,8.5,0,1
0.7,-1,8.5,0,1
0.717,-1,8.5,0,1
0.733,-1,8.5,0,1
0.75,-1,8.5,0,1
0.767,-1,8.5,0,1
0.783,-1,8.5,1.2,1
0.8,-1,8.5,1.2,1
0.817,-1,8.5,1.2,1
0.833,-1,8.5,1.2,1
0.85,-1,8.5,1.2,1
0.867,-1,8.5,1.2,1
0.883,-1,8.5,1.2,1
0.9,-1,8.5,1.2,1
0.917,-1,8.5,1.2,1
0.933,-1,8.5,1.2,1
0.95,-1,8.5,1.2,1
0.967,-1,8.5,1.2,1
0.983,-1,8.5,1.2,1
1,-1,8.5,1.2,1
1.017,-1,8.5,1.2,1
1.033,-1,8.49,1.2,1
1.05,-1,8.49,1.2,1
1.067,-1,8.49,1.2,1
1.083,-1,8.49,1.2,1
1.1,-1,8.49,1.2,1
1.117,-1,8.5,1.2,1
1.133,-1,8.5,1.2,1
1.15,-1,8.5,1.2,1
1.167,-1,8.5,1.2,1
1.183,-1,8.5,1.2,1
1.2,-1,8.5,1.2,1
1.217,-1,8.5,1.2,1
1.233,-1,8.5,1.2,1
1.25,-1,8.5,1.2,1
1.267,-1,8.5,1.2,1
1.283,-1,8.5,1.2,1
1.3,-1,8.5,1.2,1
1.317,-1,8.5,1.2,1
1.333,-1,8.5,1.2,1
1.35,-1,8.5,1.2,1
1.367,-1,8.5,1.2,1
1.383,-1,8.5,1.2,1
1.4,-1,8.5,1.1,1
1.417,-1,8.5,1.1,1
1.433,-1,8.49,1.1,1
1.45,-1,8.5,1.1,1
1.467,-1,8.5,1.1,1
1.483,-1,8.5,1.3,1
1.5,-1,8.5,1.3,1
1.517,-1,8.5,1.3,1
1.533,-1,8.51,1.5,1
1.55,-1,8.51,1.5,1
1.567,-1,8.51,1.4,1
1.583,-1,8.52,1.4,1
1.6,-1,8.52,1.4,1
1.617,-1,8.52,1.3,1
1.633,-1,8.52,1.3,1
1.65,-1,8.51,1.3,1
1.667,-1,8.51,1.3,1
1.683,-1,8.51,1.3,1
1.7,-1,8.51,1.3,1
1.717,-1,8.51,1.3,1
1.733,0,8.51,1.2,1
1.75,0,8.51,1.2,1
1.767,16,8.5,1.2,1
1.783,16,8.5,1.2,1
1.8,16,8.5,1.2,1
1.817,39,8.5,1.2,1
1.833,39,8.5,1.2,1
1.85,78,8.5,1.4,1
1.867,78,8.5,1.4,1
1.883,78,8.5,1.4,1
1.9,146,8.5,1.5,1
1.917,146,8.5,1.5,1
1.933,230,8.5,1.5,1
1.95,230,8.5,1.5,1
1.967,302,8.5,1.5,1
1.983,302,8.5,1.5,1
2,302,8.5,1.5,1
2.017,349,8.5,1.4,1
2.033,349,8.5,1.4,1
2.05,369,8.5,1.4,1
2.067,369,8.5,1.4,1
2.083,369,8.5,1.4,1
2.1,362,8.5,1.4,1
2.117,362,8.5,1.4,1
2.133,343,8.5,1.5,1
2.15,343,8.5,1.5,1
2.167,343,8.5,1.5,1
2.183,324,8.5,1.5,1
2.2,324,8.5,1.5,1
2.217,307,8.5,1.5,1
2.233,307,8.5,1.5,1
2.25,307,8.5,1.5,1
2.267,293,8.5,1.5,1
2.283,293,8.5,1.5,1
2.3,279,8.5,1.5,1
2.317,279,8.5,1.5,1
2.333,250,8.5,1.5,1
2.35,250,8.5,1.5,1
2.367,250,8.5,1.5,1
2.383,221,8.5,1.5,1
2.4,221,8.5,1.5,1
2.417,200,8.5,1.5,1
2.433,200,8.5,1.5,1
2.45,190,8.5,1.6,1
2.467,190,8.5,1.6,1
2.483,190,8.5,1.6,1
2.5,206,8.5,1.9,1
2.517,206,8.5,1.9,1
2.533,242,8.5,2.3,1
2.55,242,8.5,2.3,1
2.567,242,8.5,2.3,1
2.583,264,8.5,2.4,1
2.6,264,8.5,2.4,1
2.617,271,8.5,2.4,1
2.633,271,8.5,2.4,1
2.65,271,8.5,2.4,1
2.667,273,8.5,2.4,1
2.683,273,8.5,2.4,1
2.7,274,8.5,2.4,1
2.717,274,8.5,2.4,1
2.733,274,8.5,2.4,1
2.75,274,8.5,2.4,1
2.767,274,8.5,2.4,1
2.783,267,8.5,2.4,1
2.8,267,8.5,2.4,1
2.817,258,8.5,2.4,1
2.833,258,8.5,2.4,1
2.85,258,8.5,2.4,1
2.867,250,8.5,2.4,1
2.883,250,8.5,2.4,1
2.9,246,8.5,2.4,1
2.917,246,8.5,2.4,1
2.933,246,8.5,2.4,1
2.95,244,8.5,2.4,1
2.967,244,8.5,2.4,1
2.983,244,8.5,2.4,1
3,244,8.5,2.4,1
3.017,244,8.5,2.4,1
3.033,245,8.5,2.4,1
3.05,245,8.5,2.4,1
3.067,244,8.5,2.4,1
3.083,244,8.5,2.4,1
3.1,244,8.5,2.4,1
3.117,244,8.5,2.4,1
3.133,244,8.5,2.4,1
3.15,244,8.5,2.4,1
3.167,244,8.5,2.4,1
3.183,242,8.5,2.4,1
3.2,242,8.5,2.4,1
3.217,242,8.5,2.4,1
3.233,242,8.5,2.4,1
3.25,242,8.5,2.4,1
3.267,242,8.5,2.4,1
3.283,242,8.5,2.4,1
3.3,242,8.5,2.4,1
3.317,241,8.5,2.4,1
3.333,241,8.5,2.4,1
3.35,236,8.5,2.3,1
3.367,236,8.5,2.3,1
3.383,236,8.5,2.3,1
3.4,193,8.5,1.4,1
3.417,193,8.5,1.4,1
3.433,114,8.5,0.3,1
3.45,114,8.5,0.3,1
3.467,63,8.5,0,1
3.483,63,8.5,0,1
3.5,63,8.5,0,1
3.517,41,8.5,0,1
3.533,41,8.5,0,1
3.55,29,8.5,0,1
3.567,29,8.5,0,1
3.583,29,8.5,0,1
3.6,24,8.5,0,1
3.617,24,8.5,0,1
3.633,20,8.5,0,1
3.65,20,8.5,0,1
3.667,20,8.5,0,1
3.683,17,8.5,0,1
3.7,17,8.5,0,1
3.717,17,8.5,0,1
3.733,17,8.5,0,1
3.75,16,8.5,0,1
3.767,16,8.5,0,1
3.783,16,8.5,0,1
3.8,16,8.5,0,1
3.817,16,8.5,0,1
3.833,16,8.5,0,1
3.85,16,8.5,0,1
3.867,16,8.5,0,1
3.883,16,8.5,0,1
3.9,16,8.5,0,1
3.917,16,8.5,0,1
3.933,16,8.5,0,1
3.95,16,8.5,0,1
3.967,16,8.5,0,1
3.983,16,8.5,0,1
4,16,8.5,0,1
4.017,16,8.5,0,1
4.033,16,8.5,0,1
4.05,16,8.5,0,1
4.067,16,8.5,0,1
4.083,15,8.5,0,1
4.1,15,8.5,0,1
4.117,15,8.5,0,1
4.133,15,8.5,0,1
4.15,15,8.5,0,1
4.167,16,8.5,0,1
4.183,16,8.5,0,1
4.2,16,8.5,0,1
4.217,16,8.5,0,1
4.233,16,8.5,0,1
4.25,16,8.5,0,1
4.267,16,8.5,0,1
4.283,15,8.5,0,1
4.3,15,8.5,0,1
4.317,15,8.5,0,1
4.333,15,8.5,0,1
4.35,15,8.5,0,1
4.367,15,8.5,0,1
4.383,15,8.5,0,1
4.4,15,8.5,0,1
4.417,15,8.5,0,1
4.433,15,8.5,0,1
4.45,15,8.5,0,1
4.467,15,8.5,0,1
4.483,16,8.5,0,1
4.5,16,8.5,0,1
4.517,16,8.5,0,1
4.533,15,8.5,0,1
4.55,15,8.5,0,1
4.567,14,8.5,0,1
4.583,14,8.5,0,1
4.6,15,8.5,0,1
4.617,15,8.5,0,1
4.633,15,8.5,0,1
4.65,15,8.5,0,1
4.667,15,8.5,0,1
4.683,15,8.5,0,1
4.7,15,8.5,0,1
4.717,15,8.5,0,1
4.733,14,8.5,0,1
4.75,14,8.5,0,1
4.767,14,8.5,0,1
4.783,14,8.5,0,1
4.8,14,8.5,0,1
4.817,14,8.5,0,1
4.833,14,8.5,0,1
4.85,14,8.5,0,1
4.867,14,8.5,0,1
4.883,15,8.5,0,1
4.9,15,8.5,0,1
4.917,15,8.5,0,1
4.933,15,8.5,0,1
4.95,15,8.5,0,1
4.967,14,8.5,0,1
